resource_id,captured_on,source_url,capture_class,source_basis,raw_snapshot_cached,raw_fulltext_cached,rights_policy,runtime_fetch,local_card,local_card_sha256,structured_snapshot,verification_note
RANK-FMS-2025,2026-08-21,https://www.fms-journal.net/,structured_snapshot_indexed,official_public_page,False,False,official_list_snapshot,periodic_refresh_only,03_sources/local_knowledge/external/cards/RANK-FMS-2025.md,748078b7710602a5975393a92a2bac43e28a041acce5d4de04216fe855a61344,03_sources/local_knowledge/external/structured/fms_2025_scope.yaml,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
RANK-UTD24,2026-08-21,https://jsom.utdallas.edu/the-utd-top-100-business-school-research-rankings/list-of-journals,structured_snapshot_indexed,official_public_page,False,False,official_list_snapshot,periodic_refresh_only,03_sources/local_knowledge/external/cards/RANK-UTD24.md,5016eb6e91b37060ae4de299c1cc14712bbe7091a8e05dd818344ccb58868695,03_sources/local_knowledge/external/structured/utd24_current.yaml,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
RANK-AIS-2025,2026-08-21,https://aisnet.org/research/seniorscholarsbasket/,structured_snapshot_indexed,official_public_page,False,False,official_field_list_snapshot,periodic_refresh_only,03_sources/local_knowledge/external/cards/RANK-AIS-2025.md,39569f594e51ea9df9febface9484b854166687e5824398f66a1cb71428bb4c9,03_sources/local_knowledge/external/structured/ais_premier_2025.yaml,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
META-CROSSREF,2026-08-21,https://www.crossref.org/documentation/retrieve-metadata/rest-api/,official_api_operational_card_indexed,official_public_page,False,False,official_docs_summary,live_query_for_current_records_only,03_sources/local_knowledge/external/cards/META-CROSSREF.md,a07e57c5010c93ecc2bfbb44e03ef0bb3631ec7652f821c33bd4fb6371bc3c05,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
META-OPENALEX,2026-08-21,https://help.openalex.org/,official_api_operational_card_indexed,official_public_page,False,False,cc0_metadata_and_docs_summary,live_query_for_current_records_only,03_sources/local_knowledge/external/cards/META-OPENALEX.md,adb83863225389124bf3fa0e30836c93a0ce462907bd5f02aa85b97688782626,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
META-SEMANTIC,2026-08-21,https://api.semanticscholar.org/api-docs/,official_api_operational_card_indexed,official_public_page,False,False,official_docs_summary,live_query_for_current_records_only,03_sources/local_knowledge/external/cards/META-SEMANTIC.md,6502aa9794c319826bf72fdca528bec0d4ebe26dc301ec851236a079ff9642e8,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
OA-UNPAYWALL,2026-08-21,https://unpaywall.org/products/api,official_api_operational_card_indexed,official_public_page,False,False,official_docs_summary,live_query_for_current_records_only,03_sources/local_knowledge/external/cards/OA-UNPAYWALL.md,be6ddbc42c178b5264b21ca4eeb47338e04aa055fc7603028d2c2e63f8b4095c,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
DB-AISEL,2026-08-21,https://aisel.aisnet.org/,database_workflow_card_indexed,official_public_page,False,False,repository_interface_summary_no_corpus,live_query_for_current_records_only,03_sources/local_knowledge/external/cards/DB-AISEL.md,c4220f3222a59b787cbdc262710424531355819e668250acccc856992f68fe5e,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
DB-CNKI,2026-08-21,https://www.cnki.net/,database_workflow_card_indexed,official_public_page,False,False,database_usage_knowledge_no_corpus,live_query_for_current_records_only,03_sources/local_knowledge/external/cards/DB-CNKI.md,16911c472acdd671347a8f8bf4ea906663dd92e600c2284b42e98ec15e7559d4,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
DB-WANFANG,2026-08-21,https://www.wanfangdata.com.cn/,database_workflow_card_indexed,official_public_page,False,False,database_usage_knowledge_no_corpus,live_query_for_current_records_only,03_sources/local_knowledge/external/cards/DB-WANFANG.md,276c8b31ff08c2ccc32fb971bd7819af081bcb3c2bd01d5e0ab6cdb55f613881,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
